time,event_name,event_type
2015-09-17,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2015-09-18,US Market Summit SPY OpEx Quarterly,Other Event
2015-09-27,Chinese Holiday Mid-Autumn Festival,Chinese Holiday
2015-10-01,Chinese Holiday National Day,Chinese Holiday
2015-10-02,Chinese Holiday National Day,Chinese Holiday
2015-10-02,NFP Release,NFP Release
2015-10-03,Chinese Holiday National Day,Chinese Holiday
2015-10-05,Chinese Holiday National Day,Chinese Holiday
2015-10-06,Chinese Holiday Mid-Autumn Festival,Chinese Holiday
2015-10-07,Chinese Holiday Rest Day,Chinese Holiday
2015-10-12,US Holiday Columbus Day,US Holiday
2015-10-13,US Presidential Election First Democratic primary debate,US Presidential Election
2015-10-15,CPI Release,CPI Release
2015-10-28,US Market Summit FOMC Statement,US Market Summit FOMC
2015-10-28,US Presidential Election Third Republican primary debate,US Presidential Election
2015-10-30,PCE Release for September 2015,PCE Release
2015-11-02,SPY Component Report L,SPY Component Report
2015-11-06,NFP Release,NFP Release
2015-11-11,US Holiday Veterans Day,US Holiday
2015-11-15,US Market Summit G20 Summit,US Market Summit G20
2015-11-17,CPI Release,CPI Release
2015-11-25,PCE Release for October 2015,PCE Release
2015-11-26,US Holiday Thanksgiving Day,US Holiday
2015-12-04,NFP Release,NFP Release
2015-12-15,CPI Release,CPI Release
2015-12-15,US Market Summit WTO MC10,US Market Summit WTO
2015-12-16,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2015-12-18,SPY OpEx Quarterly,SPY OpEx Quarterly
2015-12-25,US Holiday Christmas Day,US Holiday
2016-01-01,Chinese Holiday New Year's Day,Chinese Holiday
2016-01-01,US Holiday New Year's Day,US Holiday
2016-01-08,NFP Release,NFP Release
2016-01-18,US Holiday Martin Luther King Jr. Day,US Holiday
2016-01-20,CPI Release,CPI Release
2016-01-27,US Market Summit FOMC Statement,US Market Summit FOMC
2016-02-01,PCE Release for December 2015,PCE Release
2016-02-01,US Presidential Election Iowa caucuses,US Presidential Election
2016-02-05,NFP Release,NFP Release
2016-02-08,Chinese Holiday Spring Festival,Chinese Holiday
2016-02-08,SPY Component Report L,SPY Component Report
2016-02-09,Chinese Holiday Spring Festival,Chinese Holiday
2016-02-10,Chinese Holiday Spring Festival,Chinese Holiday
2016-02-11,Chinese Holiday Rest Day,Chinese Holiday
2016-02-12,Chinese Holiday Rest Day,Chinese Holiday
2016-02-15,US Holiday Washington's Birthday,US Holiday
2016-02-19,CPI Release,CPI Release
2016-02-26,PCE Release for January 2016,PCE Release
2016-03-01,US Presidential Election Super Tuesday primaries,US Presidential Election
2016-03-04,NFP Release,NFP Release
2016-03-16,CPI Release,CPI Release
2016-03-16,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2016-03-18,SPY OpEx Quarterly,SPY OpEx Quarterly
2016-03-28,PCE Release for February 2016,PCE Release
2016-04-01,NFP Release,NFP Release
2016-04-04,Chinese Holiday Qingming Festival,Chinese Holiday
2016-04-14,CPI Release,CPI Release
2016-05-01,Chinese Holiday Labor Day,Chinese Holiday
2016-05-02,Chinese Holiday Labor Day,Chinese Holiday
2016-05-02,SPY Component Report L,SPY Component Report
2016-05-06,NFP Release,NFP Release
2016-05-17,CPI Release,CPI Release
2016-05-26,US Market Summit G7 Summit,US Market Summit G7
2016-05-30,US Holiday Memorial Day,US Holiday
2016-06-03,NFP Release,NFP Release
2016-06-09,Chinese Holiday Dragon Boat Festival,Chinese Holiday
2016-06-10,Chinese Holiday Rest Day,Chinese Holiday
2016-06-15,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2016-06-16,CPI Release,CPI Release
2016-06-17,SPY OpEx Quarterly,SPY OpEx Quarterly
2016-06-29,PCE Release for May 2016,PCE Release
2016-07-04,US Holiday Independence Day,US Holiday
2016-07-08,NFP Release,NFP Release
2016-07-15,CPI Release,CPI Release
2016-07-18,US Presidential Election RNC convention (Trump nominated),US Presidential Election
2016-07-25,US Presidential Election DNC convention (Clinton nominated),US Presidential Election
2016-08-01,SPY Component Report L,SPY Component Report
2016-08-02,PCE Release for June 2016,PCE Release
2016-08-05,NFP Release,NFP Release
2016-08-16,CPI Release,CPI Release
2016-08-26,US Market Summit Jackson Hole,US Market Summit Jackson Hole
2016-08-29,PCE Release for July 2016,PCE Release
2016-09-02,NFP Release,NFP Release
2016-09-04,US Market Summit G20 Summit,US Market Summit G20
2016-09-05,US Holiday Labor Day,US Holiday
2016-09-15,Chinese Holiday Mid-Autumn Festival,Chinese Holiday
2016-09-16,Chinese Holiday Rest Day,Chinese Holiday
2016-09-16,CPI Release,CPI Release
2016-09-16,SPY OpEx Quarterly,SPY OpEx Quarterly
2016-09-21,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2016-09-26,US Presidential Election First presidential debate,US Presidential Election
2016-09-30,PCE Release for August 2016,PCE Release
2016-10-01,Chinese Holiday National Day,Chinese Holiday
2016-10-02,Chinese Holiday National Day,Chinese Holiday
2016-10-03,Chinese Holiday National Day,Chinese Holiday
2016-10-04,Chinese Holiday National Day,Chinese Holiday
2016-10-05,Chinese Holiday National Day,Chinese Holiday
2016-10-06,Chinese Holiday Rest Day,Chinese Holiday
2016-10-07,Chinese Holiday Rest Day,Chinese Holiday
2016-10-07,NFP Release,NFP Release
2016-10-09,US Presidential Election Second presidential debate,US Presidential Election
2016-10-10,US Holiday Columbus Day,US Holiday
2016-10-18,CPI Release,CPI Release
2016-10-19,US Presidential Election Third presidential debate,US Presidential Election
2016-10-31,PCE Release for September 2016,PCE Release
2016-10-31,SPY Component Report L,SPY Component Report
2016-11-04,NFP Release,NFP Release
2016-11-08,US Presidential Election Day 2016 (Trump wins),US Presidential Election
2016-11-11,US Holiday Veterans Day,US Holiday
2016-11-17,CPI Release,CPI Release
2016-11-24,US Holiday Thanksgiving Day,US Holiday
2016-11-30,PCE Release for October 2016,PCE Release
2016-11-30,US Market Summit OPEC+,US Market Summit OPEC
2016-12-02,NFP Release,NFP Release
2016-12-14,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2016-12-15,CPI Release,CPI Release
2016-12-16,SPY OpEx Quarterly,SPY OpEx Quarterly
2016-12-19,US Presidential Election Electoral College vote,US Presidential Election
2016-12-22,PCE Release for November 2016,PCE Release
2016-12-25,US Holiday Christmas Day,US Holiday
2016-12-26,US Holiday Christmas Day (observed),US Holiday
2017-01-01,Chinese Holiday New Year's Day,Chinese Holiday
2017-01-01,US Holiday New Year's Day,US Holiday
2017-01-02,Chinese Holiday New Year's Day,Chinese Holiday
2017-01-02,US Holiday New Year's Day (observed),US Holiday
2017-01-06,NFP Release,NFP Release
2017-01-06,US Presidential Election Congress certifies EC result,US Presidential Election
2017-01-16,US Holiday Martin Luther King Jr. Day,US Holiday
2017-01-18,CPI Release,CPI Release
2017-01-20,US Presidential Election Inauguration Trump 45th,US Presidential Election
2017-01-27,Chinese Holiday Rest Day,Chinese Holiday
2017-01-28,Chinese Holiday Spring Festival,Chinese Holiday
2017-01-29,Chinese Holiday Spring Festival,Chinese Holiday
2017-01-30,Chinese Holiday Spring Festival,Chinese Holiday
2017-01-30,PCE Release for December 2016,PCE Release
2017-01-31,Chinese Holiday Spring Festival,Chinese Holiday
2017-02-01,Chinese Holiday Spring Festival,Chinese Holiday
2017-02-02,Chinese Holiday Rest Day,Chinese Holiday
2017-02-03,NFP Release,NFP Release
2017-02-06,SPY Component Report L,SPY Component Report
2017-02-13,CPI Release,CPI Release
2017-02-15,CPI Release,CPI Release
2017-02-20,US Holiday Washington's Birthday,US Holiday
2017-03-01,PCE Release for January 2017,PCE Release
2017-03-10,NFP Release,NFP Release
2017-03-15,CPI Release,CPI Release
2017-03-15,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2017-03-17,SPY OpEx Quarterly,SPY OpEx Quarterly
2017-03-31,PCE Release for February 2017,PCE Release
2017-04-03,Chinese Holiday Rest Day,Chinese Holiday
2017-04-04,Chinese Holiday Qingming Festival,Chinese Holiday
2017-04-07,NFP Release,NFP Release
2017-04-14,CPI Release,CPI Release
2017-05-01,Chinese Holiday Labor Day,Chinese Holiday
2017-05-01,PCE Release for March 2017,PCE Release
2017-05-01,SPY Component Report L,SPY Component Report
2017-05-05,NFP Release,NFP Release
2017-05-12,CPI Release,CPI Release
2017-05-26,US Market Summit G7 Summit,US Market Summit G7
2017-05-29,Chinese Holiday Rest Day,Chinese Holiday
2017-05-29,US Holiday Memorial Day,US Holiday
2017-05-30,Chinese Holiday Dragon Boat Festival,Chinese Holiday
2017-05-30,PCE Release for April 2017,PCE Release
2017-06-02,NFP Release,NFP Release
2017-06-14,CPI Release,CPI Release
2017-06-14,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2017-06-16,SPY OpEx Quarterly,SPY OpEx Quarterly
2017-06-30,PCE Release for May 2017,PCE Release
2017-07-04,US Holiday Independence Day,US Holiday
2017-07-07,NFP Release,NFP Release
2017-07-07,US Market Summit G20 Summit,US Market Summit G20
2017-07-14,CPI Release,CPI Release
2017-07-31,SPY Component Report L,SPY Component Report
2017-08-01,PCE Release for June 2017 and Annual Update,PCE Release
2017-08-04,NFP Release,NFP Release
2017-08-11,CPI Release,CPI Release
2017-08-25,US Market Summit Jackson Hole,US Market Summit Jackson Hole
2017-08-31,PCE Release for July 2017,PCE Release
2017-09-01,NFP Release,NFP Release
2017-09-04,US Holiday Labor Day,US Holiday
2017-09-14,CPI Release,CPI Release
2017-09-15,SPY OpEx Quarterly,SPY OpEx Quarterly
2017-09-20,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2017-09-29,PCE Release for August 2017,PCE Release
2017-10-01,Chinese Holiday National Day,Chinese Holiday
2017-10-02,Chinese Holiday National Day,Chinese Holiday
2017-10-03,Chinese Holiday National Day,Chinese Holiday
2017-10-04,Chinese Holiday Mid-Autumn Festival,Chinese Holiday
2017-10-05,Chinese Holiday National Day,Chinese Holiday
2017-10-06,Chinese Holiday Rest Day,Chinese Holiday
2017-10-06,NFP Release,NFP Release
2017-10-09,US Holiday Columbus Day,US Holiday
2017-10-13,CPI Release,CPI Release
2017-10-30,PCE Release for September 2017,PCE Release
2017-10-30,SPY Component Report L,SPY Component Report
2017-11-03,NFP Release,NFP Release
2017-11-10,US Holiday Veterans Day (observed),US Holiday
2017-11-11,US Holiday Veterans Day,US Holiday
2017-11-15,CPI Release,CPI Release
2017-11-23,US Holiday Thanksgiving Day,US Holiday
2017-11-30,PCE Release for October 2017,PCE Release
2017-12-08,NFP Release,NFP Release
2017-12-13,CPI Release,CPI Release
2017-12-13,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2017-12-15,SPY OpEx Quarterly,SPY OpEx Quarterly
2017-12-22,PCE Release for November 2017,PCE Release
2017-12-25,US Holiday Christmas Day,US Holiday
2018-01-01,Chinese Holiday New Year's Day,Chinese Holiday
2018-01-01,US Holiday New Year's Day,US Holiday
2018-01-05,NFP Release,NFP Release
2018-01-12,CPI Release,CPI Release
2018-01-15,US Holiday Martin Luther King Jr. Day,US Holiday
2018-01-29,PCE Release for December 2017,PCE Release
2018-02-02,NFP Release,NFP Release
2018-02-12,SPY Component Report L,SPY Component Report
2018-02-14,CPI Release,CPI Release
2018-02-15,Chinese Holiday Rest Day,Chinese Holiday
2018-02-16,Chinese Holiday Spring Festival,Chinese Holiday
2018-02-17,Chinese Holiday Spring Festival,Chinese Holiday
2018-02-18,Chinese Holiday Spring Festival,Chinese Holiday
2018-02-19,Chinese Holiday Spring Festival,Chinese Holiday
2018-02-19,US Holiday Washington's Birthday,US Holiday
2018-02-20,Chinese Holiday Spring Festival,Chinese Holiday
2018-02-21,Chinese Holiday Rest Day,Chinese Holiday
2018-03-01,PCE Release for January 2018,PCE Release
2018-03-09,NFP Release,NFP Release
2018-03-13,CPI Release,CPI Release
2018-03-16,SPY OpEx Quarterly,SPY OpEx Quarterly
2018-03-21,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2018-03-29,PCE Release for February 2018,PCE Release
2018-04-05,Chinese Holiday Qingming Festival,Chinese Holiday
2018-04-06,Chinese Holiday Rest Day,Chinese Holiday
2018-04-06,NFP Release,NFP Release
2018-04-11,CPI Release,CPI Release
2018-04-30,Chinese Holiday Rest Day,Chinese Holiday
2018-04-30,PCE Release for March 2018,PCE Release
2018-04-30,SPY Component Report L,SPY Component Report
2018-05-01,Chinese Holiday Labor Day,Chinese Holiday
2018-05-04,NFP Release,NFP Release
2018-05-10,CPI Release,CPI Release
2018-05-28,US Holiday Memorial Day,US Holiday
2018-05-31,PCE Release for April 2018,PCE Release
2018-06-01,NFP Release,NFP Release
2018-06-08,US Market Summit G7 Summit,US Market Summit G7
2018-06-12,CPI Release,CPI Release
2018-06-13,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2018-06-15,SPY OpEx Quarterly,SPY OpEx Quarterly
2018-06-18,Chinese Holiday Dragon Boat Festival,Chinese Holiday
2018-06-29,PCE Release for May 2018,PCE Release
2018-07-04,US Holiday Independence Day,US Holiday
2018-07-06,NFP Release,NFP Release
2018-07-12,CPI Release,CPI Release
2018-07-30,SPY Component Report L,SPY Component Report
2018-07-31,PCE Release for June 2018,PCE Release
2018-08-03,NFP Release,NFP Release
2018-08-10,CPI Release,CPI Release
2018-08-24,US Market Summit Jackson Hole,US Market Summit Jackson Hole
2018-08-30,PCE Release for July 2018,PCE Release
2018-09-03,US Holiday Labor Day,US Holiday
2018-09-07,NFP Release,NFP Release
2018-09-13,CPI Release,CPI Release
2018-09-21,SPY OpEx Quarterly,SPY OpEx Quarterly
2018-09-24,Chinese Holiday Mid-Autumn Festival,Chinese Holiday
2018-09-26,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2018-09-28,PCE Release for August 2018,PCE Release
2018-10-01,Chinese Holiday National Day,Chinese Holiday
2018-10-02,Chinese Holiday National Day,Chinese Holiday
2018-10-03,Chinese Holiday National Day,Chinese Holiday
2018-10-04,Chinese Holiday Rest Day,Chinese Holiday
2018-10-05,Chinese Holiday Rest Day,Chinese Holiday
2018-10-05,NFP Release,NFP Release
2018-10-08,US Holiday Columbus Day,US Holiday
2018-10-11,CPI Release,CPI Release
2018-10-29,PCE Release for September 2018,PCE Release
2018-11-02,NFP Release,NFP Release
2018-11-05,SPY Component Report L,SPY Component Report
2018-11-11,US Holiday Veterans Day,US Holiday
2018-11-12,US Holiday Veterans Day (observed),US Holiday
2018-11-14,CPI Release,CPI Release
2018-11-22,US Holiday Thanksgiving Day,US Holiday
2018-11-29,PCE Release for October 2018,PCE Release
2018-11-30,US Market Summit G20 Summit,US Market Summit G20
2018-12-07,NFP Release,NFP Release
2018-12-12,CPI Release,CPI Release
2018-12-19,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2018-12-21,PCE Release for November 2018,PCE Release
2018-12-21,SPY OpEx Quarterly,SPY OpEx Quarterly
2018-12-25,US Holiday Christmas Day,US Holiday
2018-12-31,Chinese Holiday Rest Day,Chinese Holiday
2019-01-01,Chinese Holiday New Year's Day,Chinese Holiday
2019-01-01,US Holiday New Year's Day,US Holiday
2019-01-04,NFP Release,NFP Release
2019-01-11,CPI Release,CPI Release
2019-01-21,US Holiday Martin Luther King Jr. Day,US Holiday
2019-02-01,NFP Release,NFP Release
2019-02-04,Chinese Holiday Rest Day,Chinese Holiday
2019-02-05,Chinese Holiday Spring Festival,Chinese Holiday
2019-02-06,Chinese Holiday Spring Festival,Chinese Holiday
2019-02-07,Chinese Holiday Spring Festival,Chinese Holiday
2019-02-08,Chinese Holiday Rest Day,Chinese Holiday
2019-02-11,CPI Release,CPI Release
2019-02-11,SPY Component Report L,SPY Component Report
2019-02-13,CPI Release,CPI Release
2019-02-18,US Holiday Washington's Birthday,US Holiday
2019-03-08,NFP Release,NFP Release
2019-03-12,CPI Release,CPI Release
2019-03-15,SPY OpEx Quarterly,SPY OpEx Quarterly
2019-03-20,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2019-04-05,Chinese Holiday Qingming Festival,Chinese Holiday
2019-04-05,NFP Release,NFP Release
2019-04-10,CPI Release,CPI Release
2019-04-29,PCE Release for March 2019,PCE Release
2019-04-29,SPY Component Report L,SPY Component Report
2019-05-01,Chinese Holiday Labor Day,Chinese Holiday
2019-05-03,NFP Release,NFP Release
2019-05-10,CPI Release,CPI Release
2019-05-27,US Holiday Memorial Day,US Holiday
2019-05-31,PCE Release for April 2019,PCE Release
2019-06-07,Chinese Holiday Dragon Boat Festival,Chinese Holiday
2019-06-07,NFP Release,NFP Release
2019-06-12,CPI Release,CPI Release
2019-06-19,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2019-06-21,SPY OpEx Quarterly,SPY OpEx Quarterly
2019-06-26,US Presidential Election First Democratic primary debate,US Presidential Election
2019-06-28,PCE Release for May 2019,PCE Release
2019-06-28,US Market Summit G20 Summit,US Market Summit G20
2019-07-04,US Holiday Independence Day,US Holiday
2019-07-05,NFP Release,NFP Release
2019-07-11,CPI Release,CPI Release
2019-07-25,SPY Component Report JNPR,SPY Component Report
2019-07-30,PCE Release for June 2019,PCE Release
2019-07-31,SPY Component Report HES,SPY Component Report
2019-08-02,NFP Release,NFP Release
2019-08-05,SPY Component Report ANSS,SPY Component Report
2019-08-05,SPY Component Report L,SPY Component Report
2019-08-07,SPY Component Report FOX,SPY Component Report
2019-08-13,CPI Release,CPI Release
2019-08-15,SPY Component Report TPR,SPY Component Report
2019-08-23,US Market Summit Jackson Hole,US Market Summit Jackson Hole
2019-08-24,US Market Summit G7 Summit,US Market Summit G7
2019-08-30,PCE Release for July 2019,PCE Release
2019-09-02,US Holiday Labor Day,US Holiday
2019-09-06,NFP Release,NFP Release
2019-09-12,CPI Release,CPI Release
2019-09-13,Chinese Holiday Mid-Autumn Festival,Chinese Holiday
2019-09-18,US Market Summit FOMC w/ SEP,US Market Summit FOMC
2019-09-20,SPY OpEx Quarterly,SPY OpEx Quarterly
2019-09-27,PCE Release for August 2019,PCE Release
2019-10-01,Chinese Holiday National Day,Chinese Holiday
2019-10-02,Chinese Holiday National Day,Chinese Holiday
2019-10-03,Chinese Holiday National Day,Chinese Holiday
2019-10-04,Chinese Holiday Rest Day,Chinese Holiday
2019-10-04,NFP Release,NFP Release
2019-10-07,Chinese Holiday Rest Day,Chinese Holiday
2019-10-10,CPI Release,CPI Release
2019-10-14,US Holiday Columbus Day,US Holiday
2019-10-15,SPY Component Report OMC,SPY Component Report
2019-10-15,SPY Component Report UNH,SPY Component Report
2019-10-16,SPY Component Report CCI,SPY Component Report
2019-10-16,SPY Component Report IBM,SPY Component Report
2019-10-16,SPY Component Report KMI,SPY Component Report
2019-10-16,SPY Component Report NFLX,SPY Component Report
2019-10-16,SPY Component Report STLD,SPY Component Report
2019-10-16,SPY Component Report URI,SPY Component Report
2019-10-17,SPY Component Report DOV,SPY Component Report
2019-10-17,SPY Component Report GPC,SPY Component Report
2019-10-17,SPY Component Report HON,SPY Component Report
2019-10-17,SPY Component Report ISRG,SPY Component Report
2019-10-17,SPY Component Report PM,SPY Component Report
2019-10-17,SPY Component Report POOL,SPY Component Report
2019-10-17,SPY Component Report PPG,SPY Component Report
2019-10-17,SPY Component Report TXT,SPY Component Report
2019-10-17,SPY Component Report UNP,SPY Component Report
2019-10-18,SPY Component Report KO,SPY Component Report
2019-10-18,SPY Component Report NVR,SPY Component Report
2019-10-21,SPY Component Report CDNS,SPY Component Report
2019-10-21,SPY Component Report HAL,SPY Component Report
2019-10-21,SPY Component Report LII,SPY Component Report
2019-10-22,SPY Component Report BIIB,SPY Component Report
2019-10-22,SPY Component Report CMG,SPY Component Report
2019-10-22,SPY Component Report CNC,SPY Component Report
2019-10-22,SPY Component Report CSGP,SPY Component Report
2019-10-22,SPY Component Report DGX,SPY Component Report
2019-10-22,SPY Component Report EQR,SPY Component Report
2019-10-22,SPY Component Report HAS,SPY Component Report
2019-10-22,SPY Component Report IPG,SPY Component Report
2019-10-22,SPY Component Report KMB,SPY Component Report
2019-10-22,SPY Component Report LMT,SPY Component Report
2019-10-22,SPY Component Report MCD,SPY Component Report
2019-10-22,SPY Component Report MPWR,SPY Component Report
2019-10-22,SPY Component Report NEE,SPY Component Report
2019-10-22,SPY Component Report NUE,SPY Component Report
2019-10-22,SPY Component Report PCAR,SPY Component Report
2019-10-22,SPY Component Report PG,SPY Component Report
2019-10-22,SPY Component Report PHM,SPY Component Report
2019-10-22,SPY Component Report RTX,SPY Component Report
2019-10-22,SPY Component Report SHW,SPY Component Report
2019-10-22,SPY Component Report TER,SPY Component Report
2019-10-22,SPY Component Report TXN,SPY Component Report
2019-10-22,SPY Component Report UPS,SPY Component Report
2019-10-22,SPY Component Report WRB,SPY Component Report
2019-10-23,SPY Component Report ALGN,SPY Component Report
2019-10-23,SPY Component Report AMP,SPY Component Report
2019-10-23,SPY Component Report APH,SPY Component Report
2019-10-23,SPY Component Report AVY,SPY Component Report
2019-10-23,SPY Component Report BA,SPY Component Report
2019-10-23,SPY Component Report BSX,SPY Component Report
2019-10-23,SPY Component Report BX,SPY Component Report
2019-10-23,SPY Component Report CAT,SPY Component Report
2019-10-23,SPY Component Report EBAY,SPY Component Report
2019-10-23,SPY Component Report EFX,SPY Component Report
2019-10-23,SPY Component Report ELV,SPY Component Report
2019-10-23,SPY Component Report ESS,SPY Component Report
2019-10-23,SPY Component Report EW,SPY Component Report
2019-10-23,SPY Component Report F,SPY Component Report
2019-10-23,SPY Component Report FCX,SPY Component Report
2019-10-23,SPY Component Report FFIV,SPY Component Report
2019-10-23,SPY Component Report GD,SPY Component Report
2019-10-23,SPY Component Report GL,SPY Component Report
2019-10-23,SPY Component Report GWW,SPY Component Report
2019-10-23,SPY Component Report HLT,SPY Component Report
2019-10-23,SPY Component Report IVZ,SPY Component Report
2019-10-23,SPY Component Report LLY,SPY Component Report
2019-10-23,SPY Component Report LRCX,SPY Component Report
2019-10-23,SPY Component Report LVS,SPY Component Report
2019-10-23,SPY Component Report MKTX,SPY Component Report
2019-10-23,SPY Component Report MSFT,SPY Component Report
2019-10-23,SPY Component Report NDAQ,SPY Component Report
2019-10-23,SPY Component Report NOW,SPY Component Report
2019-10-23,SPY Component Report NSC,SPY Component Report
2019-10-23,SPY Component Report NTRS,SPY Component Report
2019-10-23,SPY Component Report ORLY,SPY Component Report
2019-10-23,SPY Component Report PKG,SPY Component Report
2019-10-23,SPY Component Report PNR,SPY Component Report
2019-10-23,SPY Component Report PTC,SPY Component Report
2019-10-23,SPY Component Report PYPL,SPY Component Report
2019-10-23,SPY Component Report RJF,SPY Component Report
2019-10-23,SPY Component Report ROL,SPY Component Report
2019-10-23,SPY Component Report TDY,SPY Component Report
2019-10-23,SPY Component Report TMO,SPY Component Report
2019-10-23,SPY Component Report TSLA,SPY Component Report
2019-10-23,SPY Component Report WM,SPY Component Report
2019-10-24,SPY Component Report AEP,SPY Component Report
2019-10-24,SPY Component Report AFL,SPY Component Report
2019-10-24,SPY Component Report AJG,SPY Component Report
2019-10-24,SPY Component Report ALLE,SPY Component Report
2019-10-24,SPY Component Report AMZN,SPY Component Report
2019-10-24,SPY Component Report CINF,SPY Component Report
2019-10-24,SPY Component Report CMCSA,SPY Component Report
2019-10-24,SPY Component Report CMS,SPY Component Report
2019-10-24,SPY Component Report COF,SPY Component Report
2019-10-24,SPY Component Report CTRA,SPY Component Report
2019-10-24,SPY Component Report DECK,SPY Component Report
2019-10-24,SPY Component Report DHR,SPY Component Report
2019-10-24,SPY Component Report DOW,SPY Component Report
2019-10-24,SPY Component Report EMN,SPY Component Report
2019-10-24,SPY Component Report ERIE,SPY Component Report
2019-10-24,SPY Component Report FSLR,SPY Component Report
2019-10-24,SPY Component Report FTV,SPY Component Report
2019-10-24,SPY Component Report GILD,SPY Component Report
2019-10-24,SPY Component Report HSY,SPY Component Report
2019-10-24,SPY Component Report INTC,SPY Component Report
2019-10-24,SPY Component Report JNPR,SPY Component Report
2019-10-24,SPY Component Report KIM,SPY Component Report
2019-10-24,SPY Component Report LH,SPY Component Report
2019-10-24,SPY Component Report LUV,SPY Component Report
2019-10-24,SPY Component Report MHK,SPY Component Report
2019-10-24,SPY Component Report MMM,SPY Component Report
2019-10-24,SPY Component Report NOC,SPY Component Report
2019-10-24,SPY Component Report ODFL,SPY Component Report
2019-10-24,SPY Component Report PFG,SPY Component Report
2019-10-24,SPY Component Report RMD,SPY Component Report
2019-10-24,SPY Component Report ROP,SPY Component Report
2019-10-24,SPY Component Report SWK,SPY Component Report
2019-10-24,SPY Component Report TROW,SPY Component Report
2019-10-24,SPY Component Report TSCO,SPY Component Report
2019-10-24,SPY Component Report UHS,SPY Component Report
2019-10-24,SPY Component Report V,SPY Component Report
